split,filename,image_path,class_name,label
TRAIN,00000000.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000000.jpg,fire,1
TRAIN,00000001.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000001.jpg,fire,1
TRAIN,00000002.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000002.jpg,fire,1
TRAIN,00000003.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000003.jpg,fire,1
TRAIN,00000004.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000004.jpg,fire,1
TRAIN,00000005.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000005.jpg,fire,1
TRAIN,00000007.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000007.jpg,fire,1
TRAIN,00000008.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000008.jpg,fire,1
TRAIN,00000010.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000010.jpg,fire,1
TRAIN,00000012.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000012.jpg,fire,1
TRAIN,00000013.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000013.jpg,fire,1
TRAIN,00000014.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000014.jpg,fire,1
TRAIN,00000015.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000015.jpg,fire,1
TRAIN,00000016.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000016.jpg,fire,1
TRAIN,00000019.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000019.jpg,fire,1
TRAIN,00000020.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000020.jpg,fire,1
TRAIN,00000021.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000021.jpg,fire,1
TRAIN,00000022.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000022.jpg,fire,1
TRAIN,00000024.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000024.jpg,fire,1
TRAIN,00000026.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000026.jpg,fire,1
TRAIN,00000028.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000028.jpg,fire,1
TRAIN,00000029.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000029.jpg,fire,1
TRAIN,00000030.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000030.jpg,fire,1
TRAIN,00000031.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000031.jpg,fire,1
TRAIN,00000032.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000032.jpg,fire,1
TRAIN,00000033.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000033.jpg,fire,1
TRAIN,00000034.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000034.jpg,fire,1
TRAIN,00000036.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000036.jpg,fire,1
TRAIN,00000037.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000037.jpg,fire,1
TRAIN,00000038.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000038.jpg,fire,1
TRAIN,00000039.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000039.jpg,fire,1
TRAIN,00000041.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000041.jpg,fire,1
TRAIN,00000050.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000050.jpg,fire,1
TRAIN,00000051.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000051.jpg,fire,1
TRAIN,00000055.jpg,d:\My project\phan-loai-chay-datamining\data\raw\train\fire\00000055.jpg,fire,1
